@relation 'semeval2016-task6-trainingdata-weka.filters.unsupervised.attribute.Reorder-R1,2,3-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-Llast-H'

@attribute Tweet string
@attribute Target string
@attribute Stance {AGAINST,FAVOR}

@data
'BC continues to burn. If this ain\'t a wake up call to everyone then nothing will be #Vancouver #bcwildfires #SemST','Climate Change is a Real Concern',FAVOR
'UN, decline of 50\% in crop yields in developing countries (rice,wheat,corn) over the next 35 years,especially in the tropics #SemST','Climate Change is a Real Concern',FAVOR
'There is need for world economic powers to be true about climate change funding. The world needs action not empty rhetorics #SemST','Climate Change is a Real Concern',FAVOR
'Scorching summers for UK by end of the century! Thank Rocks I won\'t be here to suffer them! :-)  #SemST','Climate Change is a Real Concern',FAVOR
'Sea level rise by the end of the century (1-2 meters) will drown SF airport and LA port. @IVelicogna #WithCompassion #SemST','Climate Change is a Real Concern',FAVOR
'Climate change is an emergency. Stop denial and start taking steps. #climatehealth #SemST','Climate Change is a Real Concern',FAVOR
'Climate change is a solvable problem but we need to start today. #HHDL80 #SemST','Climate Change is a Real Concern',FAVOR
'@shalomshuli I\'m guessing there was a lot less humidity back in the time of Moses. #SemST','Climate Change is a Real Concern',FAVOR
'Are these ominous yellow #Vancouver skies making anyone else dread our climate future? #wildfires #SemST','Climate Change is a Real Concern',FAVOR
'Cause and Effect - Dry conditions, wildfires.  #Preventable #HumanCaused #SemST','Climate Change is a Real Concern',FAVOR
'Greenland\'s ice is melting faster this summer under a dome of high pressure #SemST','Climate Change is a Real Concern',FAVOR
'@kyjl89 it\'s crazy. Oklahoma is bracing for more flooding rains (4th cycle this year) & Canada is burning. #SemST','Climate Change is a Real Concern',FAVOR
'That awkward moment when a pro-coal PR campaign has over 100K more followers than you do: @AdvancedEnergy #greenwashing #SemST','Climate Change is a Real Concern',FAVOR
'Climate change financing,cc adaptation, cc and resilience,the green economy.Lots of semantics as communities waitforsolutions #SemST','Climate Change is a Real Concern',FAVOR
'Tonight - Academy of Science talk Tech solutions for climate change with Prof. Barry Brook #cantorandballtowers #Canberra #SemST','Climate Change is a Real Concern',FAVOR
'Rent a theatre and show the movie #ChasingIce to my friends and family to spread the message of global warming. #My1500 #SemST','Climate Change is a Real Concern',FAVOR
'Stormiest 2014-2014 in Ireland and UK in 143 years. That saying something @NewsClimate @wattsupwiththat   #SemST','Climate Change is a Real Concern',FAVOR
'until newyork london frankfurt knee deep in sea #water NOTHING will happen @unfccc #cop21 #co95=FREE parties @annaborgeryd #SemST','Climate Change is a Real Concern',FAVOR
'.@ClimatParis2015, the climate science forum begins today. Follow its progress on #CFCC15 #SustainableDevelopment #SemST','Climate Change is a Real Concern',FAVOR
'We need integrated #science with #indigenous knowledge to understand & adapt to  #CFCC15 #SemST','Climate Change is a Real Concern',FAVOR
'If sea levels get any higher flooding in lowlands could become dire. #SemST','Climate Change is a Real Concern',FAVOR
'If we don\'t do anything we will be the sad generation that had the opportunity to act and didn\'t #CFCC15 #Journey2015 #SemST','Climate Change is a Real Concern',FAVOR
'Vallaud-Belkacem: Are we the generation who knew what would happen but who did nothing? Say no! #wakeup #CFCC15 #SemST','Climate Change is a Real Concern',FAVOR
'If we do not act, we will be the generation who knew, but did not move. - @najatvb #CFCC15 #SemST','Climate Change is a Real Concern',FAVOR
'The carbon clock is ticking @CarbonBubble #SurplusGas #carbon #gas #SemST','Climate Change is a Real Concern',FAVOR
'Always a delight to see chest-drumming alpha males hiss and scuttle backwards up the wall when a feminist enters the room. #manly #SemST','Feminist Movement',FAVOR
'Sometimes I overheat and want to take off my shirt but can\'t because of social expectations of people with breasts. ;n; #SemST','Feminist Movement',FAVOR
'If feminists spent 1/2 as much time reading papers as they do tumblr they would be real people, not ignorant sexist bigots. #SemST','Feminist Movement',AGAINST
'Stupid Feminists, the civilization you take for granted was built with the labour, blood sweat and tears of men. #SemST','Feminist Movement',AGAINST
'YOU\'RE A GIRL AND HAVE A SEX DRIVE!? YOU MUST BE A SLUT! #feminist #SemST','Feminist Movement',FAVOR
'Suns out....  Dresses out...  #StreetHarassment out...  This shouldn\'t be daily life  #YesAllWomen @EverydaySexism #SemST','Feminist Movement',FAVOR
'Women\'s rights are #humanrights! Join the #CPDvoices twitter rally at 3pm ET if you agree! #CPD48 #SemST','Feminist Movement',FAVOR
'So you support unequal pricing based on gender @CamilleBogrand?  Don\'t you normally call that sexism?  #EqualPayDay #SemST','Feminist Movement',FAVOR
'These pics of #pornstars with/without makeup? Just perpetuating the myth that women need makeup to be considered pretty. #SemST','Feminist Movement',FAVOR
'#YesAllWomen should know how to protect herself. Which is why I carry a gun. #republicanvalues #SemST','Feminist Movement',FAVOR
'links in sauga gotta stop chincing girls and taking away that extra bit #iknowyoudoit  #equality #SemST','Feminist Movement',FAVOR
'tired of anti-womanist respectability politics. we need a safe space for women can look like they\'re at the club at an interview #SemST','Feminist Movement',FAVOR
'If you\'re a feminist AND you hate men, please kill yourself. #SemST','Feminist Movement',AGAINST
'Women don\'t make 75\% less than men for the same job. Women, on average, make less then men. Look it up feminazis. #EqualPayDay #SemST','Feminist Movement',AGAINST
'@lucyblakeman12 You need feminism more than you need anything else in your life. You couldn\'t survive or speak w/o it. #SemST','Feminist Movement',FAVOR
'MRAs just tried to \"\"enlighten\"\" me, which went about as well as the flight of the Hindenburg. #SemST','Feminist Movement',FAVOR
'Why do girls/women spend so much time to be pretty and attractive and then complain if they\'re reduced to a sex symbol? #SemST','Feminist Movement',AGAINST
'@randomtweetor i hate to break it to u bruh but women do get pretty for us. They get pretty to show other women #feminist #SemST','Feminist Movement',FAVOR
'Job should always go to best candidate, regardless of gender. Gender shouldn\'t even matter anymore, it\'s 2015! #PaulHenry #SemST','Feminist Movement',FAVOR
'What do you say to a woman with two black eyes?  Nothing, she\'s already been told twice.   #SemST','Feminist Movement',AGAINST
'Did you know? Gender stereotypes as we know then developed with beginning of the 18. century. #gender #SemST','Feminist Movement',FAVOR
'the time for gender equality is NOW! #SemST','Feminist Movement',FAVOR
'Women get paid far more than men to appear in pornography. How come no one is talking about this blatant sexism?!  @amazingatheist #SemST','Feminist Movement',AGAINST
'You know you\'re in a patriarchy when women are the ones who are blamed for prostitution #whatisjustice #inequality #SemST','Feminist Movement',FAVOR
'When is it ok for a married 49-year-old CEO to use his power and influence to shag his 22-year-old intern? #AskHillary #SemST','Feminist Movement',FAVOR
'I love that girl @EricWynalda on @meganrapinoe_15 What the hell @FOXSports1? Way to diminish women\'s soccer #USWNT #SemST','Feminist Movement',FAVOR
'Men don\'t have a right to talk over you, you\'re voice is important, you are a goddess and don\'t deserve to be silenced #SemST','Feminist Movement',FAVOR
'FINALLY A WOMEN RUNNING FOR PRESIDENT #SemST','Feminist Movement',FAVOR
'Pissed that I got \"\"talked to\"\" but he didn\'t  #SemST','Feminist Movement',FAVOR
'I believe that every women should have their own rights!! #SemST','Feminist Movement',FAVOR
'@TheRuIes @xDirtyDianna why not she\'s clearly a part of the squad females can\'t be with guys without being looked at as a hoe #SemST','Feminist Movement',FAVOR
'It upsets me how people are so narrow-minded when it comes to feminism. STEREOTYPING MEN IS NOT . #SemST','Feminist Movement',FAVOR
'I am obsessed with becoming a woman comfortable in her skin.  Sandra Cisneros #latinx #woc #SemST','Feminist Movement',FAVOR
'I just yelled at my boyfriend for trying to let me win for Mortal Kombat X. #SemST','Feminist Movement',FAVOR
'RT @WGSndsu: Let\'s demand less cat-calling and more cats! #ndsufeminist #Feminist #cats #DogsCanComeToo #SemST','Feminist Movement',FAVOR
'Anyone find it funny that #Feminists use #TakeitLikeAMan when they don\'t want to understand what it means to be one?  #SemST','Feminist Movement',AGAINST
'RT @rossansguil: Nothing like dudes joking about molesting me right to my face... #SemST','Feminist Movement',FAVOR
'All I\'m doing is reading GG tweets and getting angrier. Fuuuuuuuuuuuck men are privileged.  Time for bed. #FeminismIsAwfullyGreat #SemST','Feminist Movement',FAVOR
'@FudgieeBuddiee ARE YOU SAYING ALL GIRLS ARE SENSITIVE BECAUSE OF GENDER ROLES? YOU SEXIST SWINE #SemST','Feminist Movement',FAVOR
'@DaniBChristen Yes,a \"\"greater\"\" understanding because ur\'s is \"\"superior\"\" 2 mine LOL #IDontNeedFeminism #SemST','Feminist Movement',AGAINST
'when they say men look at women like a piece of meat what do they even mean, they want to cook & eat her? #YesAllWomen #SemST','Feminist Movement',FAVOR
'Starting to compile evidence for blog post, how modern feminism shares the same traits as the Nazi propaganda #antifeminism #SemST','Feminist Movement',AGAINST
'I HOPE YOU GET RAPED is apparently how misogynists say \"\"How dare you not bend to my will?\"\"  #YesAllWomen #SemST','Feminist Movement',FAVOR
'How much radical feminist does there have to be before feminist start rethinking their position about feminism? #SemST','Feminist Movement',AGAINST
'Feminists don\'t even understand what feminism is. #SemST','Feminist Movement',AGAINST
'Thanks to the work of people like @everydaysexism they are not only helping women but helping the whole of society #SemST','Feminist Movement',FAVOR
'If you wanna stay home and raise a family, that\'s cool. But that\'s your choice and nobody else\'s. #SemST','Feminist Movement',FAVOR
'Women are superior to men in every aspect #feminist #SemST','Feminist Movement',FAVOR
'@BruiseAurora i\'m advocating men to stop loving women. Just have sex with them . #everydaysexism #SemST','Feminist Movement',AGAINST
'I NEED FEMINISM BECAUSE- A man in a room full of women is ecstatic. A woman in a room full of men is terrified. #SemST','Feminist Movement',FAVOR
'Why is Paul Elam not one of the most hated men alive right now!? #feminist #SemST','Feminist Movement',FAVOR
'Yes women it\'s not fair that men staying at home is shamed by society. We must change ppl additudes  #everydaysexism #SemST','Feminist Movement',FAVOR
'Watching #missrepresentation .. We must change our world. #womenrule #change #beauty #SemST','Feminist Movement',FAVOR
'I won\'t complain about equal rep of girls in gaming. Princess Peach & Zelda are kick-ass women. Samus is a beast. Hello! #gaming #SemST','Feminist Movement',FAVOR
'A woman is not a sex object. She\'s a person. #truth #wisdom #womensrights #media #life #humanity #love #society #SemST','Feminist Movement',FAVOR
'Umrao Jaan Ada- a story of not just a life or prostitute but of poise and poesy.  #WOMANPOWER #SemST','Feminist Movement',FAVOR
'Lol what\'s so ugly about wanting to be equal? #SemST','Feminist Movement',FAVOR
'You want to hear something really ugly, 1 in 5 women will be sexually assaulted in their time in college #MisogynyIsUgly #SemST','Feminist Movement',FAVOR
'Radios r filled with feminist and rape propaganda. Feminism is alive n well in Malaysia. Their rape guilt tactics won\'t silence me #SemST','Feminist Movement',AGAINST
'No. Feminists are not ugly. The fact that there isn\'t equal rights for both men and women is. #FeministsAreBeautiful #SemST','Feminist Movement',FAVOR
'so i guess the new definition of ugly is believing in equal rights... LET ME BE UGLY THEN #SemST','Feminist Movement',FAVOR
'Strict gender roles in the context of a true marriage devoted to raising children will always be the ideal. No substitutes. #tcot #SemST','Feminist Movement',AGAINST
'Ok armchair feminists got their panties wet. If you\'re a social justice warrior go out and do something. Get off tumblr.  #SemST','Feminist Movement',AGAINST
'I can\'t believe some of the reasons people say they need feminism. I need my dog for half of the same reasons.  #antifeminist #SemST','Feminist Movement',AGAINST
'If feminists are ugly then what are the people calling them ugly must be vile #SemST','Feminist Movement',FAVOR
'Im sorry if you going to be with me and call me \"\"you women\"\" like im a cadigory ill probably but boot out the door #SemST','Feminist Movement',FAVOR
'Me (in jest): It\'s a man\'s world, y\'know. Kaitlyn: I\'ll blow up the world then.  #SemST','Feminist Movement',FAVOR
'.@Awyee707 I respect your truck-suck. Why do you not respect girls\' innate or chosen doll-love? #SemST','Feminist Movement',FAVOR
'@optimist216 What a load of crap. Dressing appropriately for the office is \"\"sexist\"\"? Grow up. #YesAllWomen #SemST','Feminist Movement',FAVOR
'.@diistantecho Your wee sister believes in both Santa Claus and feminism. Think harder about what that means. #SemST','Feminist Movement',AGAINST
'@dancerlwt Have you considered changing your Twitter handle to vagina monologue? #SemST','Feminist Movement',AGAINST
'.@nycinterlude Don\'t worry, honey. Intelligence is a roadblock to full, unquestioning faith in feminism. Bleated be! #SemST','Feminist Movement',AGAINST
'I am a feminist.I\'ve been a female for a long time now.It\'d be stupid not to be on my own side-Maya Angelou-#feminist #humanist #SemST','Feminist Movement',FAVOR
'.@feminismvibes Men don\'t admit to being raped as readily as women do. So your question is feminist bullshit. #SemST','Feminist Movement',AGAINST
'Courting patriarchal approval condemns your sisters to abuse about their physical appearance #patriarchyisugly #SemST','Feminist Movement',FAVOR
'@SkyNews  @EamonnHolmes @SkyJacquie guy from \'beach body ready\' advert being interviewed.Conclusion=arrogant male chauvinist idiot #SemST','Feminist Movement',FAVOR
'Contempo Qiwaamah:longer paid maternity leave,flexi working hours,on-site childcare,breastfeeding/breastpumping rooms,equal pay #SemST','Feminist Movement',FAVOR
'@rimmedlarry Actually, the tag was made by feminists so they can narcissistically post selfies to prove they\'re not ugly. #SemST','Feminist Movement',AGAINST
'I have noticed that you never see any really beautiful feminists. I wonder why? #SemST','Feminist Movement',AGAINST
'@draumkunta also, sorry I\'m too busy being a gorgeous feminist to give a shit about your beauty standards #SemST','Feminist Movement',FAVOR
'@_sarcasmspasm @MT8_9 Then there\'s the added level of irony: Their chosen figureheads: Not really \"\"body positive\"\" amirite? #SemST','Feminist Movement',AGAINST
'Your physical appearance doesn\'t define your worth.People should be heard whether theyre conventionally attractive or not. #SemST','Feminist Movement',FAVOR
'All the feminist block me because I speak true. #SemST','Feminist Movement',AGAINST
'I\'m going to walk you thru this @helen_a13 because I get feminists have NO idea what they are saying...  @BristolBen #SemST','Feminist Movement',AGAINST
'@MsLuuna women don\'t need to shave. #SemST','Feminist Movement',FAVOR
'Wives who dislike cooking mk husbands diet, saying they\'ll stay fit Actually they want to avoid cooking ;) MCP #WomensProgress2015 #SemST','Feminist Movement',FAVOR
'These SJWs are so homogenous and blur together so well it\'s like dealing with one giant,rainbow-headed monster. #GamerGate #SemST','Feminist Movement',AGAINST
'#Feminists can now prove Wage Gap... yet no lawsuits have come forward of women paid less... maybe it doesn\'t exist.  #SemST','Feminist Movement',AGAINST
'Feminists are not ugly lol they do make me laugh though. They are the most hypocritical people on the planet #SemST','Feminist Movement',AGAINST
'Wonder what it\'d be like to wear a dress and NOT be sexually harassed for it.  #YesAllWomen #SemST','Feminist Movement',FAVOR
'If you want to empower women, you need to disempower the warlords! Zahara Langhi from Libya #WILPF100 #wsw2015 #ikff #peace #war #SemST','Feminist Movement',FAVOR
'hey @JCDFitness stop teiggering me with ur man gap on the bus i will fight the patriarchy until ur in jail. ty #Equality2015 #SemST','Feminist Movement',FAVOR
'What is wrong with you people. Women with self respect should be coveted. Or have we been listening to too much Rush? #SemST','Feminist Movement',FAVOR
'Hey first-world country white women bitching about gender inequality, you\'re going to be fine #killallmen #SemST','Feminist Movement',AGAINST
'RT @WeNeedFeminism: I don\'t want to choose between having a family or having a career #SemST','Feminist Movement',FAVOR
'@evelynlns @jes_chastain Agree 100 \%! She radiates beauty from the inside out. Such a role model for all  #SemST','Feminist Movement',FAVOR
'Anyone else starting to notice the general demographic of feminists is like fucking high-schoolers. #SemST','Feminist Movement',AGAINST
'Sexism is power plus prejudice? So Anita is sexist by her own definition because of her new title in time #Anitasarkeesian #SemST','Feminist Movement',AGAINST
'Women are strong, women are smart, women are bold. #FeministsAreBeautifulisalovemovement #SemST','Feminist Movement',FAVOR
'Want revenge for being a slut?  Cry rape.  Then lie to the world and carry a mattress with you.  #rape #UglyFeminist #SemST','Feminist Movement',AGAINST
'Gotta love the respect feminists give to those that don\'t wanna be a feminist (note the sarcasm) #IDontNeedFeminism #SemST','Feminist Movement',AGAINST
'@KrewellaJahan feminism does not equal woman\'s rights. Feminism is about vaulting one gender over another, NOT equality. #SemST','Feminist Movement',AGAINST
'I guess wanting and trying to make this world a better place for everyone makes me ugly. #feminist #SemST','Feminist Movement',FAVOR
'Because heckling #YesAllWomen & screaming \"\"LOOK AT ME!\"\" all day is an excellent way to show us you are a serious individual  #SemST','Feminist Movement',AGAINST
'feminist: *says something about women to be treated as equal human beings*  some asshole: you\'re ugly  wow nice okay lmao  #SemST','Feminist Movement',AGAINST
'@EverydaySexism .@Rod_McCallum you are a dinosaur and a fool.  Not rising to your antiquated rhetoric.  Bye #SemST','Feminist Movement',FAVOR
'@foreigncorrespo And just because you can quote Simone doesn\'t mean you understand her. Modern femmie-nism is just whining. #SemST','Feminist Movement',AGAINST
'the fact that people think women need to be appealing and attractive to be heard/seen as equal is why we need feminism #SemST','Feminist Movement',FAVOR
'They want equality but what they\'re doing is overpowering men. #feminazi #SemST','Feminist Movement',AGAINST
'I met my first radical feminist today. Holy shit. Amazing how much can go wrong in a brain #wtf #SemST','Feminist Movement',AGAINST
'@thefemaleboook @MeninistTweet lmao at the fact you use a bunch of airbrushed fake ass celebrities  #SemST','Feminist Movement',AGAINST
'.@cooImemegirl Feminists reject (or ignore the fight for) equality when it might hurt women. That\'s not equality, duh. #SemST','Feminist Movement',AGAINST
'.@cooImemegirl Damn that wage gap! Sneaky men work longer hours in dangerous jobs and get paid for it! #SemST','Feminist Movement',AGAINST
'.@cooImemegirl Feminists believe mothers should have a say over the father\'s body, his job, and his money. #SemST','Feminist Movement',AGAINST
'you know what\'s ugly? can\'t going out with a short skirt without being judged #SemST','Feminist Movement',FAVOR
'.@johnny_nimble @__heyheather @cooImemegirl \"\"Equality\"\": a term used by feminists to poorly hide supremacist agendas. #SemST','Feminist Movement',AGAINST
'This feminist supports gender equality because some people believe a woman\'s value lies in her physical beauty. #SemST','Feminist Movement',FAVOR
'If you claim nor to be a feminist, you either don\'t understand what feminism is, or you are a huge societal problem. #SemST','Feminist Movement',FAVOR
'Elizabeth Cady Stanton did not die so you could get upset about fuckbois that don\'t text back #SemST','Feminist Movement',FAVOR
'Women in Hollywood are still getting paid less. It is 2015. #SemST','Feminist Movement',FAVOR
'watching #BaltimoreRiots on Fox news, obvious feminist and her goony beardman following the reporter around for attention #SemST','Feminist Movement',AGAINST
'I\'ve removed the term #feminist from by bio because racist, transphobic, white feminists have fucked it up for everyone. #SemST','Feminist Movement',AGAINST
'How can you be female and not be a feminist? Like do you not care about your rights as a women or what? #SemST','Feminist Movement',FAVOR
'I wonder what would happen if riots started breaking out across the globe because of how poorly women are treated by some men. #SemST','Feminist Movement',FAVOR
'RT @WeNeedFeminism: \'BAD BITCH\' is not a compliment #SemST','Feminist Movement',FAVOR
'.@cooImemegirl @TC_Stompa Women don\'t understand men\'s plight and so shouldn\'t force men into fatherhood w/o consent. #SemST','Feminist Movement',AGAINST
'.@cooImemegirl @TC_Stompa You have no respect for real equality so you lie and claim feminists want it. #SemST','Feminist Movement',AGAINST
'OH NO EQUALITY FOR ALL WHAT SHALL WE DO ?!?!? STOP FEMINIST ASAP #SemST','Feminist Movement',AGAINST
'.@TheActualSarah The UK is considering abolishing prisons for women completely because crime is a man\'s fault. #SemST','Feminist Movement',AGAINST
'@Vivvyyy what\'s so wrong with getting dick? How come when guys do it they\'re praised for it? YOU SEXIST #SemST','Feminist Movement',FAVOR
'The moment you know you\'ve won as a wife.  You put out and he gets up to make his own sandwich. #winning #yvrmoms #funny #joke #SemST','Feminist Movement',FAVOR
'You don\'t have to be anti-men to be pro-women. ~ #SheQuotes #Quote #women #men #SemST','Feminist Movement',FAVOR
'@JahMMARastafari @Vosnic you\'re incredibly bigoted. From rape to homosexuality.  #mensrights #SemST','Feminist Movement',AGAINST
'Full of #narcissism and self-loathing, a lot of women out there like that. Its got sod all to do with #WrightStuff #WolfWhistling #SemST','Feminist Movement',AGAINST
'@Demias20  Misogynist Patriarchy rapist neckbeard Harasser evil mansplain manspread woman hater born a rapist Etc Etc Etc #SemST','Feminist Movement',FAVOR
'.@brigadam @KlaraJoelsson Abortion is NOT suffering to women - why do you think it is? Do you hate abortion, feminist? #SemST','Feminist Movement',AGAINST
'It is not a woman\'s place to be made to feel uncomfortable walking down the street. #PoppySmart #SemST','Feminist Movement',FAVOR
'.@brigadam @KlaraJoelsson You just made the best case against feminist \"\"equality\"\" ever! Fuck feminism! #SemST','Feminist Movement',AGAINST
'So, I\'m following @rgay\'s lead & embracing the term #badfeminist. I\'m too far from perfect and still learning. #SemST','Feminist Movement',FAVOR
'Just read a rather good article on females and their perceived/imposed limits throughout the education system and the work place #SemST','Feminist Movement',FAVOR
'to the people (male and female- the females always upset me more) who told me I couldn\'t achieve or do what a boy/man can. #SemST','Feminist Movement',FAVOR
'Every time I was told I was bossy rather than assertive I took it as a compliment, #SemST','Feminist Movement',FAVOR
'The most upsetting of all of these however, was when I was greeted with shock and disgust for the fact I have ambition and #SemST','Feminist Movement',FAVOR
'wanted to pursue a career rather than settle down and start a family in my 20\'s. Even now, people still tell me time is ticking & #SemST','Feminist Movement',FAVOR
'This always infuriates me. If I was male would I be asked these questions? would I be stereotyped as a \'bitch\', \'cold hearted\' or #SemST','Feminist Movement',FAVOR
'I refuse to accept that there is a unbreakable glass ceiling, after all if you hit glass hard enough it will shatter #glassceiling #SemST','Feminist Movement',FAVOR
'@VirginRadioTO @MauraGrierson how about \"\"Maura & Tucker in the morning\"\" #equality #seniority #SemST','Feminist Movement',FAVOR
'I don\'t understand how the concept of a male being a feminist doesn\'t get in some peoples heads. Equality? Anyone? #feminist #SemST','Feminist Movement',FAVOR
'@Mike_Charmander @MsLatina a right doesn\'t have to come from a law. They\'re called equal rights not equal laws #SemST','Feminist Movement',FAVOR
'We live in a world where you\'re either a bitch or a doormat #SemST','Feminist Movement',FAVOR
'@jowilliams293 Feminists, go to the gym, lose some weight and stop to blame society for everything #SemST','Feminist Movement',AGAINST
'@spectator exactly women are so weak and incapable the sight of one in a slim skin is giving them an attack of the vapours #SemST','Feminist Movement',AGAINST
'Men that want \"\"credit\"\" from women for being feminists are not feminists at all.  They\'re just men wanting more privileges #vaw #p2 #SemST','Feminist Movement',FAVOR
'We are actually watching a video on radical feminism in history this is the funniest movie ive ever seen #SemST','Feminist Movement',AGAINST
'Thought that goes through my mind on a regular basis: would you have said that to me if I was a man? #SemST','Feminist Movement',FAVOR
'For Us, By Us: These Apps Are What Happens When Girls #HackForGirlsRights via @autostraddle #girlsintechht.../buff.ly/1HHhM18 #SemST','Feminist Movement',FAVOR
'Just been putting the finishing touches to a feminist-themed cryptic crossword... Standard. #crosswords #SemST','Feminist Movement',FAVOR
'@moonsmuke Wow. A threat of violence from a feminist, when I\'ve been nothing but polite. I might report this . . . #SemST','Feminist Movement',AGAINST
'Walking through my neighborhood i saw 5 different fathers taking care of the toddler with no woman nearby  #househusband #SemST','Feminist Movement',FAVOR
'@foxtrotjames I can kind of see myself doing what she\'s doing #Femalepower #yolo #SemST','Feminist Movement',FAVOR
'@OliviaJeniferx it\'s not always the guys job. #equality #SemST','Feminist Movement',FAVOR
'Eating a bagel by myself rocking out to \"\"Man! I Feel Like a Woman!\"\" #ponytail #freedom #SemST','Feminist Movement',FAVOR
'Well maybe if more men learned to take \"\"no\"\" as an answer, women wouldn\'t have to say as much #fnm231 #SemST','Feminist Movement',FAVOR
'#WeNeedFeminism because #YesAllWomen simply do not get the same level of respect that I get as a man. #HeForShe #SemST','Feminist Movement',FAVOR
'@__florencesmith Not \"\"if\"\" - women do have equal rights & feminists have made women more equal than men. Go read \"\"Animal Farm #SemST','Feminist Movement',AGAINST
'Some guy just called me a gentleman for holding the door open for him. He then corrected himself & said \"\"I\'m sorry, gentlewoman! #SemST','Feminist Movement',FAVOR
'Excited to hear author @LeoraTanenbaum  Slut-Shaming in the Age ofthe Internet #slutshaming #SemST','Feminist Movement',FAVOR
'don\'t let anyone else\'s perception of you define you or your beliefs, and don\'t feel you have to justify your own worth #SemST','Feminist Movement',FAVOR
'U can be a #feminist w/o bein a bitch, u can also embrace ur sexuality w/o having loose morals #EmpowerAllBodies #empoweringwomen #SemST','Feminist Movement',FAVOR
'It doesnt take a miracle all takes signature and a few kind people to know not to kill innocent a women #MaryJaneLives #SemST','Feminist Movement',FAVOR
'I take it personally when people call my dog a he. Toni is a girls name too #SemST','Feminist Movement',FAVOR
'The queen won the royalty race not the king or prince #SemST','Feminist Movement',FAVOR
'I nailed another black feminist. I banged her so hard that she shit. My wife ended up cleaning up the shit too. #BaltimoreRiots #SemST','Feminist Movement',AGAINST
'RT @PatsyMaureen: Females turn into man hating feminists because no man fancy\'s they\'re dyke lesbian ass\'s. #SemST','Feminist Movement',AGAINST
'Let\'s fight for Women\'s Equality!! Read the blog below and join the cause for woman\'s rights and gender equality for all!! #SemST','Feminist Movement',FAVOR
'RT @WeAreFemstrong: Wonder what it\'d be like to wear a dress and NOT be sexually harassed for it.  #YesAllWomen #SemST','Feminist Movement',FAVOR
'@ENews Tell @TerrenceJ to stop speaking about women is such a belittling manner. You should NEVER lie to women. #Equality #asshole #SemST','Feminist Movement',FAVOR
'Whether you label yourself a feminist or not I think it\'s important that we address equal rights.-Taylor Swift. #SemST','Feminist Movement',FAVOR
'#WeNeedFeminism because #NoMeansNo it doesnt mean yes, it doesnt mean try harder!  #YesAllWomen @yesallwomen #RT #SemST','Feminist Movement',FAVOR
'Thanks for all the laughs tonight, @amyschumer! And the social commentary wasn\'t bad either ;) #equalpay #girlyoudontneedmakeup #SemST','Feminist Movement',FAVOR
'@victoriacoren has an article on women and politics in this months @ELLEUK - it\'s a must read. #generalelection #politics #women #SemST','Feminist Movement',FAVOR
'What a wonderful interview with @blakelively in @StylistMagazine. Very refreshing feminist views #SemST','Feminist Movement',FAVOR
'@Daily_Feminism -- give us a follow back.   #feminist #SemST','Feminist Movement',FAVOR
'Contrary to stereotype I see feminists all over social media championing causes that benefit men. #YesAllWomen #HeForShe #SemST','Feminist Movement',FAVOR
'@UKIP Also a policy on removing feminists. In their entirety. Thanks for your help with this #VoteUKIP #SemST','Feminist Movement',AGAINST
'M: FEMINISTS NEED TO GROWA SENSE OF HUMOR W: Okay. (sips from \"\"Male Tears\"\" mug) M: AAIGH!  MISANDREEEEEEEEEEE  #YesAllWomen #SemST','Feminist Movement',AGAINST
'those who resist against feminism before us 2016 election, should not be killed. they should be raped to death ... #USElections #SemST','Feminist Movement',FAVOR
'Feminism is not just about women; it\'s about letting all people lead fuller lives ~ @JaneFonda #life #SemST','Feminist Movement',FAVOR
'So if I find a woman attractive I\'m an objectifying pig. If I don\'t find her attractive I\'m a shallow pig. #SemST','Feminist Movement',AGAINST
'@Agratha Feminist logic:  \"\"Be awesome or you\'re a piece of shit\"\".  Nice.  You should learn what patriarchy means, dumb shit.  #SemST','Feminist Movement',AGAINST
'I wonder when my feminism top is gonna arrive.. I need a bit of happiness with the stress of studying #collegelife #SemST','Feminist Movement',FAVOR
'Pope Francis: Christians should support equal pay for equal work #popefrancis #worldnews #society #women #SemST','Feminist Movement',FAVOR
'Kristen Stewart: \'Hollywood is disgustingly sexist\' #kristenstewart #cloudsofsilsmaria #culture #women #SemST','Feminist Movement',FAVOR
'hooks says that we continue,even though it\'s hard and causes pain, because of those people we look to #whatawoman #bellhooks #love #SemST','Feminist Movement',FAVOR
'This #MaritalRape law if misused dont give any scope to men to prove their innocence.Even honest men can be trapped & slaughtered. #SemST','Feminist Movement',AGAINST
'RT @WeNeedFeminism: My school taught us about the penis but never mentioned the clitoris #SemST','Feminist Movement',FAVOR
'If you\'re a feminist, stop whining on the internet and step up your game. Guys in Baltimore riot for their cause. Get shit done. #SemST','Feminist Movement',AGAINST
'@ProteinWorld Don\'t worry about all these feminists. Any press is good press. I will be ordering products. soon. #SemST','Feminist Movement',AGAINST
'@Fashionopolis You just gained a new follower! The #misogynist #maritalrapedebate views has got me outraged! #SemST','Feminist Movement',FAVOR
'@fxckyoustagram u have no reason to need feminism in the 1st world.u are equal. Stop trying to make a case for victimhood. #SemST','Feminist Movement',AGAINST
'@thomas_RAL: Most feminists don\'t know what they are fighting for?! Most ego maniac\'s who want they\'re 15 minutes of fame. #c4news #SemST','Feminist Movement',AGAINST
